Term,Course Code,Course Number,Section Number,Title,Instructor,A,A-,B+,B,B-,C+,C,C-,D+,D,F,I,W,AU,CR,NC,X,NR,IP,Total,GPA
Fall 2012,FIN,320,8,Managerial Finance,"Pettengill, Glenn N",14,0,4,6,3,4,5,1,0,0,1,0,2,0,0,0,0,0,0,40,3.06
Fall 2012,FIN,320,9,Managerial Finance,"Griggs, Frank T",10,2,2,1,5,1,7,3,2,1,1,0,5,0,0,0,0,0,0,40,2.73
Fall 2012,FIN,320,10,Managerial Finance,"Simpson, Thuy",6,7,5,9,1,2,4,1,0,2,1,0,1,0,0,0,0,0,0,39,2.96
Fall 2012,FIN,320,11,Managerial Finance,"Pettengill, Glenn N",13,0,2,7,4,4,5,1,0,1,0,0,2,0,0,0,0,0,0,39,3.04
Fall 2012,FIN,320,12,Managerial Finance,"Griggs, Frank T",11,2,2,3,3,0,2,1,1,3,5,0,6,0,0,0,0,0,0,39,2.58
Fall 2012,FIN,320,13,Managerial Finance,"Simpson, Thuy",10,6,3,3,3,1,3,1,0,0,3,0,4,0,0,0,0,0,0,37,3.01
Fall 2012,FIN,321,1,Investments,"Yocius, Robert A",6,4,10,9,4,1,4,0,0,0,0,0,1,0,0,0,0,0,0,39,3.16
Fall 2012,FIN,321,2,Investments,"Yocius, Robert A",3,5,7,11,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,40,2.99
Fall 2012,FIN,321,3,Investments,"Yocius, Robert A",3,1,4,1,8,3,8,2,1,1,0,0,2,1,0,0,0,0,0,35,2.57
Fall 2012,FIN,322,1,Intermed Managerial Finance,"Chang, Yingpin",5,2,2,7,16,3,4,0,0,1,0,0,1,0,0,0,0,0,0,41,2.85
Fall 2012,FIN,322,2,Intermed Managerial Finance,"Chang, Yingpin",13,5,3,8,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,40,3.29
Fall 2012,FIN,322,3,Intermed Managerial Finance,"Jamal, Rabih M",7,3,2,2,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,23,3.02
Fall 2012,FIN,330,1,Ethics in Finance,"Blose, Laurence E",14,3,4,7,6,0,2,1,2,0,1,0,0,0,0,0,0,0,0,40,3.15
Fall 2012,FIN,330,2,Ethics in Finance,"Blose, Laurence E",13,6,4,5,4,3,0,1,0,0,0,0,3,0,0,0,0,0,0,39,3.38
Fall 2012,FIN,330,3,Ethics in Finance,"Tryka, Jeffery A",2,3,2,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,16,3
Fall 2012,FIN,331,2,Risk and Insurance,"Dimkoff, Gregg K",5,4,4,8,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33,3.11
Fall 2012,FIN,331,3,Risk and Insurance,"Dimkoff, Gregg K",11,2,5,10,5,2,2,2,0,0,1,0,0,0,0,0,0,0,0,40,3.09
Fall 2012,FIN,350,1,Real Estate Principles,"Hoogstra, Eric J",4,4,2,10,3,0,1,1,0,1,2,0,1,0,0,0,0,0,0,29,2.86
Fall 2012,FIN,420,1,Bank Management,"Setlock, Scott P",3,5,3,5,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,20,3.23
Fall 2012,FIN,422,1,SWS Adv Managerial Finance,"Willey, Thomas E",6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.54
Fall 2012,FIN,422,2,SWS Adv Managerial Finance,"Willey, Thomas E",4,6,9,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,3.28
Fall 2012,FIN,422,3,SWS Adv Managerial Finance,"Willey, Thomas E",5,6,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,3.2
Fall 2012,FIN,422,4,SWS Adv Managerial Finance,"Edwards, Susan M",4,4,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.25
Fall 2012,FIN,424,1,Financial Modeling,"Edwards, Susan M",5,4,2,1,2,2,2,0,0,2,0,0,0,0,1,0,0,0,0,21,3.02
Fall 2012,FIN,427,1,Derivative Assets and Markets,"Gondhalekar, Vijay",6,3,0,3,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,18,3.15
Fall 2012,FIN,428,1,Security Analysis & Portfl Mgt,"Whaley, John C",4,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.25
Fall 2012,FIN,520,1,Stats and Math of Finance,"Farmer, Timothy M",5,3,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,14,3.17
Fall 2012,FIN,621,1,Financial Policy for Managers,"Chang, Yingpin",10,7,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,3.6
Fall 2012,FIN,624,1,Investments,"Pettengill, Glenn N",2,0,0,8,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2.97
Fall 2012,FRE,101,1,Elementary French I,"Wilson, Carol A",0,6,1,0,5,3,2,1,0,0,2,0,6,0,0,0,0,0,0,26,2.58
Fall 2012,FRE,101,2,Elementary French I,"Wilson, Carol A",2,5,8,2,5,2,0,0,1,0,0,0,3,0,0,0,0,0,0,28,3.13
Fall 2012,FRE,101,3,Elementary French I,"Wilson, Carol A",1,1,5,9,4,0,1,1,0,1,2,0,1,0,1,0,0,0,0,27,2.67
Fall 2012,FRE,101,4,Elementary French I,"Chakir, Mariya",4,8,6,1,1,3,1,0,1,0,0,0,2,0,0,0,0,0,0,27,3.25
Fall 2012,FRE,101,5,Elementary French I,"Chakir, Mariya",0,4,5,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,18,2.99
Fall 2012,FRE,102,1,Elementary French II,"Eick, David M",2,2,2,2,1,1,3,0,0,1,0,0,2,0,0,0,0,0,0,16,2.86
Fall 2012,FRE,102,2,Elementary French II,"Ward, Severine H",7,5,3,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,21,3.46
Fall 2012,FRE,150,1,Intensive Elementary French,"Wilson, Carol A",2,4,4,3,6,0,1,2,2,2,2,0,1,0,0,0,0,0,0,29,2.54
Fall 2012,FRE,201,1,Intermediate French I,"Ward, Severine H",2,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.46
Fall 2012,FRE,201,2,Intermediate French I,"Ward, Severine H",6,10,6,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,3.52
Fall 2012,FRE,201,3,Intermediate French I,"Caillaud, Anne M",3,6,4,5,8,2,0,0,0,0,0,0,1,0,1,0,0,0,0,30,3.16
Fall 2012,FRE,202,1,Intermediate French II,"Ward, Severine H",8,7,2,2,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,26,3.37
Fall 2012,FRE,301,1,Introduction to Literature,"Cata, Isabelle M",2,3,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3.18
Fall 2012,FRE,304,1,French Conversation,"Caillaud, Anne M",5,8,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,3.52
Fall 2012,FRE,305,1,French Phonetics,"Guikema, Janel Pettes",3,4,2,4,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,17,2.98
Fall 2012,FRE,306,1,SWS French Composition,"Cata, Isabelle M",3,5,6,2,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,22,3.16
Fall 2012,FRE,307,1,Advanced French Grammar,"Eick, David M",5,2,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.19
Fall 2012,FRE,308,1,French History & Civilization,"Caillaud, Anne M",5,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3.49
Fall 2012,GEO,100,10,Environmental Geology,"Heid, Kelly",3,18,20,19,15,11,10,10,8,4,7,1,3,0,0,0,0,0,0,129,2.55
Fall 2012,GEO,100,20,Environmental Geology,"Merle Johnson, Domini",12,21,11,14,10,4,7,9,0,2,2,0,4,0,0,0,0,0,0,96,2.95
Fall 2012,GEO,100,30,Environmental Geology,"Heid, Kelly",4,2,7,0,10,14,5,13,8,3,5,0,5,0,0,0,0,0,0,76,2.13
Fall 2012,GEO,100,40,Environmental Geology,"Cole, Kevin C",1,4,0,2,0,0,2,1,1,0,1,0,2,0,1,0,0,0,0,15,2.65
Fall 2012,GEO,103,1,Oceans,"Miller, Heather R",0,4,12,5,7,3,4,3,1,1,0,0,0,0,0,0,0,0,0,40,2.77
Fall 2012,GEO,105,1,Living with the Great Lakes,"Kneeshaw, Tara Ann",10,18,13,21,7,9,11,3,2,4,2,0,0,0,0,0,0,0,0,100,2.86
Fall 2012,GEO,105,2,Living with the Great Lakes,"Kneeshaw, Tara Ann",5,9,3,9,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,40,3.02
Fall 2012,GEO,111,10,Exploring the Earth,"Wampler, Peter",6,5,4,24,10,8,9,2,5,8,11,0,4,0,0,0,0,0,0,96,2.27
Fall 2012,GEO,111,20,Exploring the Earth,"Videtich, Patricia E",7,6,13,10,9,10,8,9,8,7,5,0,5,0,0,0,0,0,0,97,2.38
Fall 2012,GEO,111,30,Exploring the Earth,"Videtich, Patricia E",2,2,2,1,7,5,7,3,1,2,3,0,0,0,0,0,0,0,0,35,2.22
Fall 2012,GEO,111,40,Exploring the Earth,"Peterson, Virginia L",3,1,6,1,1,4,1,2,0,2,2,0,0,0,0,0,0,0,0,23,2.51
Fall 2012,GEO,111,50,Exploring the Earth,"Merle Johnson, Domini",7,13,11,9,3,2,2,1,1,2,0,0,5,0,0,0,0,0,0,56,3.16
Fall 2012,GEO,112,10,Earth History,"Colgan, Patrick M",1,1,3,1,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,14,2.66
Fall 2012,GEO,112,20,Earth History,"Mekik, Figen",0,3,4,5,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,21,2.99
Fall 2012,GEO,201,10,Geosphere for K-8 Teachers,"Llerandi-Roman, Pablo",0,2,5,4,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,19,2.97
Fall 2012,GEO,201,20,Geosphere for K-8 Teachers,"Llerandi-Roman, Pablo",1,2,4,5,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,17,3.11
Fall 2012,GEO,202,10,Hydrosphere for Teachers,"Miller, Heather R",1,3,4,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,14,2.89
Fall 2012,GEO,203,1,Weather for K-8 Teachers,"Heid, Kelly",4,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.28
Fall 2012,GEO,211,10,Mineralogy,"Cole, Kevin C",1,6,0,3,2,2,3,5,1,0,1,0,2,0,0,0,0,0,0,26,2.54
Fall 2012,GEO,300,1,Geology and the Environment,"Kneeshaw, Tara Ann",6,11,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,3.64
Fall 2012,GEO,311,10,Structural Geology,"Weber, John",4,2,0,5,4,1,3,1,0,0,1,0,1,0,0,0,0,0,0,22,2.82
Fall 2012,GEO,315,10,Geological Field Methods,"Weber, John",1,2,5,3,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,21,2.87
Fall 2012,GEO,320,10,Geomorphology,"Colgan, Patrick M",2,0,1,8,2,3,2,1,1,1,0,0,1,0,0,0,0,0,0,22,2.65
Fall 2012,GEO,430,1,Oceanography,"Mekik, Figen",2,5,2,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,22,3.02
Fall 2012,GEO,485,1,SWS Geology Seminar,"Miller, Heather R",17,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,3.68
Fall 2012,GER,101,1,Elementary German I,"Neitzert, Kevin",2,0,5,4,2,0,5,3,0,3,3,0,0,0,0,0,0,0,0,27,2.22
Fall 2012,GER,101,2,Elementary German I,"Neitzert, Kevin",2,2,3,4,5,1,2,2,2,1,1,0,3,0,1,0,0,0,0,29,2.56
Fall 2012,GER,101,3,Elementary German I,"Moelter-Gray, Chryste",2,4,5,5,0,4,1,1,0,0,2,1,3,0,0,0,0,0,0,28,2.8
Fall 2012,GER,102,1,Elementary German II,"Place, Mitchell",19,5,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,30,3.84
Fall 2012,GER,201,1,Intermediate German I,"Place, Mitchell",3,13,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,23,3.4
Fall 2012,GER,201,2,Intermediate German I,"Neitzert, Kevin",4,5,0,5,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,20,3.12
Fall 2012,GER,201,3,Intermediate German I,"Place, Mitchell",3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.55
Fall 2012,GER,202,1,Intermediate German II,"Place, Mitchell",10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,3.58
Fall 2012,GER,301,1,German Composition,"Anderson, Donovan J",8,2,1,2,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,20,3.22
Fall 2012,GER,302,1,German Conversation,"Neitzert, Kevin",4,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,12,2.84
Fall 2012,GER,402,1,German Authors,"Anderson, Donovan J",4,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,3.33
Fall 2012,GPY,100,1,Physical Geography,"Gutowsky, Michael S",3,3,5,4,2,4,8,1,0,1,4,0,5,0,0,0,0,0,0,40,2.43
Fall 2012,GPY,100,2,Physical Geography,"Boehm, Mary E",2,5,4,5,5,2,1,8,1,0,0,0,0,0,0,0,0,0,0,33,2.72
Fall 2012,GPY,100,3,Physical Geography,"Gutowsky, Michael S",2,1,2,8,2,5,5,4,3,1,1,0,1,0,0,0,0,0,0,35,2.38
Fall 2012,GPY,200,1,Computer Cartography,"Sun, Wanxiao",1,0,5,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,12,3.02
Fall 2012,GPY,200,2,Computer Cartography,"Ma, Kin M",0,4,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,16,2.88
Fall 2012,GPY,220,1,Cultural Geography,"Houser, Patricia A",13,21,4,4,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,47,3.56
Fall 2012,GPY,220,2,Cultural Geography,"Snyder, Ash J",7,7,6,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,26,3.45
Fall 2012,GPY,235,1,World Regional Geography,"Penn, James W",19,7,11,3,8,5,5,4,1,2,2,0,3,0,0,0,0,0,0,70,2.99
Fall 2012,GPY,235,2,World Regional Geography,"Cole, Roy",10,5,0,9,3,0,3,3,0,0,1,0,1,0,0,0,0,0,0,35,3.08
Fall 2012,GPY,235,3,World Regional Geography,"Xu, Gang",8,14,9,9,10,4,3,3,4,1,4,1,0,0,0,0,0,0,0,70,2.81
Fall 2012,GPY,235,4,World Regional Geography,"Wessell, Jonathan E",3,4,4,4,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,27,2.87
Fall 2012,GPY,235,5,World Regional Geography,"Wagendorp, Jeroen",3,5,9,16,5,11,4,2,2,2,3,0,3,0,0,0,0,0,0,65,2.63
Fall 2012,GPY,235,6,World Regional Geography,"Wessell, Jonathan E",1,1,6,4,9,1,1,1,0,0,3,0,3,0,0,0,0,0,0,30,2.59
Fall 2012,GPY,235,7,World Regional Geography,"Ma, Kin M",0,1,6,4,7,4,1,3,1,0,0,0,1,0,0,0,0,0,0,28,2.67
Fall 2012,GPY,235,8,World Regional Geography,"Cole, Roy",12,16,11,10,4,3,5,1,0,3,3,1,1,0,0,0,0,0,0,70,3.03
Fall 2012,GPY,307,10,Intro to Computer Map & GIS,"Hills, Mary Jo",4,8,1,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,21,3.18
Fall 2012,GPY,307,20,Intro to Computer Map & GIS,"Sun, Wanxiao",1,5,3,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,2.94
Fall 2012,GPY,309,1,Intro to City & Reg Planning,"Houser, Patricia A",7,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,3.56
Fall 2012,GPY,309,2,Intro to City & Reg Planning,"Houser, Patricia A",9,10,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24,3.68
Fall 2012,GPY,324,1,Urbanization,"Xu, Gang",6,3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,3.53
Fall 2012,GPY,345,1,Geog of Michigan/Great Lakes,"Wagendorp, Jeroen",2,3,3,4,3,1,0,1,0,0,2,1,0,0,0,0,0,0,0,20,2.79
Fall 2012,GPY,353,1,Gpy of USA and Canada,"Ma, Kin M",1,11,8,5,5,2,1,0,0,0,1,0,1,0,0,0,0,0,0,35,3.12
Fall 2012,GPY,362,1,World Agriculture & Farmers,"Penn, James W",6,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,3.6
Fall 2012,GPY,363,1,World Forests & Their Use,"Penn, James W",4,2,4,3,5,2,3,1,1,0,1,0,5,0,0,0,0,0,0,31,2.8
Fall 2012,GPY,370,1,Intro to Remote Sensing,"Sun, Wanxiao",3,5,4,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,2.91
Fall 2012,GPY,410,1,Landscape Analysis,"Lioubimtseva, Elena",8,2,3,2,1,1,0,1,0,1,1,0,2,0,0,0,0,0,0,22,3.15
Fall 2012,GPY,495,1,SWS Senior Seminar,"Cole, Roy",13,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,3.69
Fall 2012,GRK,101,1,Elementary Ancient Greek I,"Pazdernik, Charles F",11,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,3.58
Fall 2012,GRK,201,1,Intermediate Ancient Greek I,"Anderson, Peter J",0,4,4,2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,17,2.92
Fall 2012,HNR,209,1,Islamic Middle East I,"Fitzpatrick, Regina C",12,2,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.46
Fall 2012,HNR,210,1,Islamic Middle East I,"Maisel, Sebastian",4,12,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.44
Fall 2012,HNR,211,1,Classical World I,"Rayor, Diane J",1,11,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.39
Fall 2012,HNR,211,2,Classical World I,"Pazdernik, Charles F",3,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.53
Fall 2012,HNR,212,1,Classical World I,"Rayor, Diane J",1,11,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.39
Fall 2012,HNR,212,2,Classical World I,"Pazdernik, Charles F",3,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.53
Fall 2012,HNR,213,1,American Civilization I,"Montagna, Douglas",9,4,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,24,3.46
Fall 2012,HNR,214,1,American Civilization I,"Ross, Kelly B",5,11,2,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,24,3.36
Fall 2012,HNR,215,1,European Civilization I,"Galbraith, Gretchen R",5,10,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.55
Fall 2012,HNR,215,2,European Civilization I,"Coolidge, Grace E",3,2,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3.19
Fall 2012,HNR,216,1,European Civilization I,"Eick, David M",5,10,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.55
Fall 2012,HNR,216,2,European Civilization I,"Wright, Diane M",3,2,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3.19
Fall 2012,HNR,217,1,The Making of Europe I,"Lockerd, Benjamin G",3,6,6,4,5,2,1,1,0,0,0,0,3,0,0,0,0,0,0,31,3.14
Fall 2012,HNR,227,1,Making of Europe 3,"Lockerd, Benjamin G",6,6,8,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,3.37
Fall 2012,HNR,231,1,SWS The Holocaust,"Crouthamel, Jason P",6,6,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,3.55
Fall 2012,HNR,231,2,SWS The Holocaust,"Kravitz, Norman K",8,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,3.82
Fall 2012,HNR,233,1,SWS Society and Self:Soc Persp,"Joanisse, Richard I",11,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.8
Fall 2012,HNR,234,1,SWS Society and Self:Psy Persp,"Bernstein, David A",10,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.73
Fall 2012,HNR,235,1,SWS Democracy & Pol Thinking,"Zivi, Karen",3,5,2,4,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,20,3.05
Fall 2012,HNR,241,1,"The Earth, A Global View","Wilson, Gregory C",8,1,1,4,3,1,2,0,1,0,1,0,1,0,1,0,0,0,0,24,3.03
Fall 2012,HNR,242,1,Plants and People,"Blackman, Sheila",13,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.7
Fall 2012,HNR,243,10,The Human Body in Motion I,"Ambrose, Bradley S",3,11,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.47
Fall 2012,HNR,245,1,Microbes and Society,"Morgan, Roderick",10,6,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24,3.76
Fall 2012,HNR,246,10,Chemistry in Perspective,"Baum, Edward J",15,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,3.88
Fall 2012,HNR,254,1,African Civilization I,"Buckridge, Steeve",2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.64
Fall 2012,HNR,255,1,African Civilization I,"Yidana, Richard J",1,4,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.32
Fall 2012,HNR,280,1,"Live,Learn,Lead:Life in Honors","Bartels, Kirsten A",14,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,3.9
Fall 2012,HNR,280,2,Food For Thought,"Bartels, Kirsten A",22,7,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,3.79
Fall 2012,HNR,280,3,"Live,Learn,Lead:Life in Honors","Cataldo, Jeremiah W",9,2,5,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,22,3.55
Fall 2012,HNR,280,4,Alliance & Confl: Rel & Soc,"Cataldo, Jeremiah W",6,6,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,3.41
Fall 2012,HNR,280,5,Focus on Asia I,"Benjamin, Craig",6,8,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,3.32
Fall 2012,HNR,280,6,Focus on Asia I,"Liang, Yan",3,10,4,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,24,3.18
Fall 2012,HNR,280,7,Big History I,"Benjamin, Craig",7,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,3.53
Fall 2012,HNR,280,8,Big History I,"Benjamin, Craig",7,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,3.53
Fall 2012,HNR,280,9,Theory & Practice of Rights I,"Zivi, Karen",3,6,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.42
Fall 2012,HNR,280,10,Live. Learn. Lead: Life Honors,"Zivi, Karen",4,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.58
Fall 2012,HNR,280,11,History of Science I,"Kopperl, Sheldon",16,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3.86
Fall 2012,HNR,280,12,History of Science I,"Spear, Andrew D",10,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3.76
Fall 2012,HNR,280,13,How to Love the World,"Clark, Patricia F",7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.67
Fall 2012,HNR,280,14,Social Product Innovation,"Lane, Paul M",2,6,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.37
Fall 2012,HNR,280,16,Life. Learn. Lead: Life Honors,"White, Jonathan R",15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.95
Fall 2012,HNR,280,18,"Live,Learn,Lead:Life in Honors","Alderink, Gordon J",7,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.69
Fall 2012,HNR,280,19,"Live,Learn,Lead:Life in Honors","Bartels, Kirsten A",11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.79
Fall 2012,HNR,280,20,History of Collecting,"Gollannek, Eric F",15,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,3.71
Fall 2012,HNR,312,1,SWS Lit Explr/Medical Controv,"Toot, Jane I",16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.98
Fall 2012,HNR,312,2,SWS Lit Explr/Medical Controv,"Swartzlander, Susan",7,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.58
Fall 2012,HNR,312,3,SWS Culture & Aesthetics,"Ellenberger, Kurt",10,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.78
Fall 2012,HNR,312,4,SWS Intercult Communication,"Pednekar-Magal, Vanda",10,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,14,3.51
Fall 2012,HNR,312,5,SWS Remembering 9/11,"Franciosi, Robert M",7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.79
Fall 2012,HNR,312,6,SWS Games in Circumpolar World,"Kilbourne, John",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
Fall 2012,HNR,499,1,Honors Senior Project,"Chamberlain, Jeffrey",12,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,3.75
Fall 2012,HNR,499,2,Honors Senior Project,"Chamberlain, Jeffrey",19,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3.89
Fall 2012,HSC,201,1,The Scientific Revolution,"Kopperl, Sheldon",19,14,8,14,3,9,2,0,0,2,1,0,2,0,0,0,0,0,0,74,3.21
Fall 2012,HST,101,1,World Civilizations,"Huner, Michael Kennet",6,4,4,5,6,3,3,2,0,1,3,0,6,0,0,0,0,0,0,43,2.72
Fall 2012,HST,101,2,World Civilizations,"Eaton, David A",1,3,5,7,7,5,6,1,4,2,1,0,3,0,0,0,0,0,0,45,2.47
Fall 2012,HST,101,3,World Civilizations,"Herbert, Christopher",2,9,6,8,10,4,2,0,1,0,1,0,1,0,0,0,0,0,0,44,2.94
Fall 2012,HST,101,4,World Civilizations,"Geisler, Irene E",5,10,15,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,3.3
Fall 2012,HST,101,5,World Civilizations,"Geisler, Irene E",3,16,8,11,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,46,3.36
Fall 2012,HST,101,6,World Civilizations,"Huner, Michael Kennet",6,4,5,8,2,6,4,0,0,1,1,0,8,0,0,0,0,0,0,45,2.91
Fall 2012,HST,101,7,World Civilizations,"Warber, Samantha M",3,7,9,4,10,6,4,0,1,0,0,0,1,0,0,0,0,0,0,45,2.95
Fall 2012,HST,101,9,World Civilizations,"Geisler, Irene E",1,13,9,15,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,45,3.19
Fall 2012,HST,101,10,World Civilizations,"Herbert, Christopher",1,3,7,5,5,3,1,2,0,1,2,0,1,0,1,0,0,0,0,32,2.67
