Term,Course Code,Course Number,Section Number,Title,Instructor,A,A-,B+,B,B-,C+,C,C-,D+,D,F,I,W,AU,CR,NC,X,NR,IP,Total,GPA
Fall 2011,BMS,290,2,Human Physiology,"Kurjiaka, David",18,5,8,13,8,12,8,13,5,5,6,0,9,0,0,0,0,0,0,110,2.52
Fall 2011,BMS,290,3,Human Physiology,"Burg, Martin G",10,3,13,8,6,10,9,3,4,6,4,0,6,0,0,0,0,0,0,82,2.52
Fall 2011,BMS,290,4,Human Physiology,"Taylor, Merritt K",13,8,7,10,8,1,3,3,0,4,15,0,8,0,0,0,0,0,0,80,2.41
Fall 2011,BMS,291,101,Laboratory in Human Physiology,"Kurjiaka, David",4,2,2,2,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0,18,2.89
Fall 2011,BMS,291,102,Laboratory in Human Physiology,"Ramsson, Eric S",3,6,2,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,20,3.22
Fall 2011,BMS,291,103,Laboratory in Human Physiology,"Burg, Martin G",1,1,2,4,1,1,2,0,0,0,0,0,5,0,0,0,0,0,0,17,2.94
Fall 2011,BMS,291,104,Laboratory in Human Physiology,"Paguio, Ronald F",2,2,4,4,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,19,2.93
Fall 2011,BMS,291,105,Laboratory in Human Physiology,"Taylor, Merritt K",1,3,5,4,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,20,2.83
Fall 2011,BMS,291,106,Laboratory in Human Physiology,"Wever, Daryl B",4,2,1,5,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,20,3.1
Fall 2011,BMS,291,107,Laboratory in Human Physiology,"Capodilupo, John G",4,3,5,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,19,3.07
Fall 2011,BMS,291,108,Laboratory in Human Physiology,"Burg, Martin G",2,1,1,3,1,2,2,0,1,2,1,0,4,0,0,0,0,0,0,20,2.41
Fall 2011,BMS,291,109,Laboratory in Human Physiology,"Taylor, Merritt K",1,1,2,6,1,2,5,0,0,0,0,0,2,0,0,0,0,0,0,20,2.76
Fall 2011,BMS,291,110,Laboratory in Human Physiology,"Linn, David M",3,3,2,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,3.06
Fall 2011,BMS,291,111,Laboratory in Human Physiology,"Ramsson, Eric S",6,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.38
Fall 2011,BMS,291,112,Laboratory in Human Physiology,"Capodilupo, John G",1,2,3,2,5,3,0,0,0,1,0,0,3,0,0,0,0,0,0,20,2.86
Fall 2011,BMS,291,113,Laboratory in Human Physiology,"Edick, Mathew J",3,2,1,1,0,2,0,2,0,0,2,0,4,0,0,0,0,0,0,17,2.59
Fall 2011,BMS,291,114,Laboratory in Human Physiology,"Edick, Mathew J",5,3,2,4,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,20,3.24
Fall 2011,BMS,291,115,Laboratory in Human Physiology,"Bergman, Daniel A",2,3,3,5,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,19,3.09
Fall 2011,BMS,291,116,Laboratory in Human Physiology,"Kurjiaka, David",2,4,1,1,6,1,0,0,0,0,1,0,3,0,0,0,0,0,0,19,2.98
Fall 2011,BMS,301,1,Intro to Research in BMS,"Thomas, Derek Paul",4,3,10,9,8,3,5,0,0,0,0,0,3,0,0,0,0,0,0,45,2.99
Fall 2011,BMS,301,2,Intro to Research in BMS,"Lown, Deborah A",1,11,3,14,7,3,4,0,0,0,1,0,1,0,0,0,0,0,0,45,2.96
Fall 2011,BMS,301,3,Intro to Research in BMS,"Linn, David M",7,1,6,9,7,6,4,1,0,1,0,1,3,0,0,0,0,0,0,46,2.9
Fall 2011,BMS,305,1,Clinical Nutrition,"Nizielski, Steven E",0,1,0,0,3,2,4,1,0,1,2,0,9,0,1,0,0,0,0,24,1.94
Fall 2011,BMS,306,1,Advanced Human Nutrition,"Nizielski, Steven E",1,0,1,1,1,0,1,1,0,0,4,0,17,0,0,0,0,0,0,27,1.67
Fall 2011,BMS,309,101,Laboratory in Human Anatomy,"Kegley, Anthony Danie",8,2,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,3.53
Fall 2011,BMS,309,102,Laboratory in Human Anatomy,"Kegley, Anthony Danie",4,1,2,2,1,4,2,0,0,0,3,0,1,0,0,0,0,0,0,20,2.54
Fall 2011,BMS,309,103,Laboratory in Human Anatomy,"Kozal, Jeffrey T",6,4,1,2,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,20,3.08
Fall 2011,BMS,309,104,Laboratory in Human Anatomy,"Hemerling, Laura B",5,3,2,3,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,20,2.95
Fall 2011,BMS,309,105,Laboratory in Human Anatomy,"Hemerling, Laura B",2,3,2,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,15,2.84
Fall 2011,BMS,309,106,Laboratory in Human Anatomy,"Wever, Daryl B",9,2,0,2,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,20,3.36
Fall 2011,BMS,309,107,Laboratory in Human Anatomy,"Richiert, Dawn M",7,2,1,0,1,1,4,1,0,0,2,0,1,0,0,0,0,0,0,20,2.81
Fall 2011,BMS,309,108,Laboratory in Human Anatomy,"Hemerling, Laura B",4,2,3,1,2,1,1,1,0,1,2,0,2,0,0,0,0,0,0,20,2.71
Fall 2011,BMS,309,109,Laboratory in Human Anatomy,"Jones, Michael W",11,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,3.67
Fall 2011,BMS,309,110,Laboratory in Human Anatomy,"Jones, Michael W",9,2,0,1,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,20,3.43
Fall 2011,BMS,310,1,Basic Pathophysiology,"Capodilupo, John G",14,21,22,16,15,9,0,0,0,1,2,0,3,0,0,0,0,0,0,103,3.17
Fall 2011,BMS,310,2,Basic Pathophysiology,"Kurjiaka, David",11,5,4,8,3,4,7,2,1,4,0,0,3,0,0,0,0,0,0,52,2.85
Fall 2011,BMS,310,3,Basic Pathophysiology,"Bergman, Daniel A",6,7,9,5,4,4,5,0,0,2,0,0,1,0,0,0,0,0,0,43,3.01
Fall 2011,BMS,311,1,Pharmaco Aspects of Biomed,"Linn, David M",6,7,5,18,8,10,5,0,1,0,2,0,2,0,0,0,0,0,0,64,2.84
Fall 2011,BMS,311,2,Pharmaco Aspects of Biomed,"Sridhar, Suganthi",1,4,6,7,2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,27,2.96
Fall 2011,BMS,374,1,Phy Aspects of Death/Dying,"Reed, James C",5,4,3,3,5,1,0,0,1,0,0,0,2,0,0,0,0,0,0,24,3.22
Fall 2011,BMS,375,1,The Biology of Aging,"Sylvester, Francis A",6,9,4,7,1,5,3,0,0,0,1,0,2,0,1,0,0,0,0,39,3.1
Fall 2011,BMS,399,1,Readings in Biomed Sci,"Nieuwkoop, Anthony J",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4
Fall 2011,BMS,410,1,Immunology,"Burg, Debra L",7,8,5,15,4,3,6,1,0,2,5,0,6,0,2,0,0,0,0,64,2.72
Fall 2011,BMS,427,1,Neuroanatomy,"Taylor, Merritt K",15,11,20,17,8,9,9,2,1,0,5,0,3,0,0,0,0,0,0,100,2.91
Fall 2011,BMS,450,10,Human Histology,"Richiert, Dawn M",2,3,2,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,14,3.14
Fall 2011,BMS,461,10,Prosected Regional Anatomy,"Adams, Justin W",24,16,28,8,8,3,2,0,0,0,0,0,1,0,0,0,0,0,0,90,3.42
Fall 2011,BMS,495,1,SWS Concepts In Wellness,"Nochera, Carmen L",9,7,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,3.61
Fall 2011,BMS,495,2,SWS Concepts In Wellness,"Sridhar, Suganthi",9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.74
Fall 2011,BMS,495,3,SWS Concepts In Wellness,"Sridhar, Suganthi",9,7,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,3.63
Fall 2011,BMS,495,4,SWS Concepts in Wellness,"Kegley, Anthony Danie",10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.81
Fall 2011,BMS,580,1,Epidemiology,"Graham, Douglas H",3,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.52
Fall 2011,BUS,101,1,Introduction to Business,"Stuart, Todd A",12,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,3.81
Fall 2011,BUS,101,2,Introduction to Business,"Wozniak, Theodore C",1,4,11,1,5,7,3,5,2,0,0,0,0,0,0,0,0,0,0,39,2.69
